ImageName,Color,Evolution,Mood,Size,Background,Prompt
amethyst_1_idle,amethyst,1-seed,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing lavender-purple orb of light with a cute chibi face — big sparkly eyes, rosy cheeks, gentle smile. No body, just a round magical ball of soft purple light. Tiny translucent wing buds on either side. A small rough amethyst crystal chip floats below. Minimal detail, very simple and cute, soft glow aura around the orb."
amethyst_1_happy,amethyst,1-seed,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing lavender-purple orb of light with a cute chibi face — eyes closed happily (^^), big blush on cheeks, joyful smile. No body, just a round magical ball of soft purple light. Tiny translucent wing buds on either side. A small rough amethyst crystal chip floats below. Extra sparkles, soft glow aura."
amethyst_1_excited,amethyst,1-seed,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing lavender-purple orb of light with a cute chibi face — starry eyes wide open, open mouth smile, lots of sparkles bursting around. No body, just a round magical ball of soft purple light. Tiny translucent wing buds on either side. A small rough amethyst crystal chip floats below. Bright glow aura."
amethyst_1_thinking,amethyst,1-seed,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing lavender-purple orb of light with a cute chibi face — curious expression, slightly tilted, one tiny sparkle near head like a thought. No body, just a round magical ball of soft purple light. Tiny translucent wing buds on either side. A small rough amethyst crystal chip floats below. Soft glow aura."
amethyst_1_sleeping,amethyst,1-seed,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing lavender-purple orb of light with a cute chibi face — eyes closed peacefully (curved lines), serene sleeping expression. No body, just a round magical ball of soft purple light. Tiny translucent wing buds drooping softly. A small rough amethyst crystal chip floats below. Dim gentle glow aura, tiny zzz particles."
amethyst_2_idle,amethyst,2-bud,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short lavender-purple hair, big expressive eyes with sparkle highlights, rosy cheeks, gentle smile. She has a tiny seedling sprout on her head. Simple translucent round fairy wings. A simple purple dress with soft edges. She holds a small tumbled amethyst stone. Floating pose, soft sparkles around her."
amethyst_2_happy,amethyst,2-bud,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short lavender-purple hair, eyes closed happily (^^), big blush, joyful smile. She has a tiny seedling sprout on her head. Simple translucent round fairy wings. A simple purple dress with soft edges. She holds a small tumbled amethyst stone. Bouncy pose, extra sparkles."
amethyst_2_excited,amethyst,2-bud,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short lavender-purple hair, starry eyes wide open, open mouth smile, arms raised up. She has a tiny seedling sprout on her head. Simple translucent round fairy wings. A simple purple dress with soft edges. She holds a small tumbled amethyst stone up high. Lots of sparkles bursting around."
amethyst_2_thinking,amethyst,2-bud,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short lavender-purple hair, curious expression, head tilted to one side, one finger on chin. She has a tiny seedling sprout on her head. Simple translucent round fairy wings. A simple purple dress with soft edges. She holds a small tumbled amethyst stone. Thoughtful pose, soft sparkles."
amethyst_2_sleeping,amethyst,2-bud,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short lavender-purple hair, eyes closed peacefully, serene sleeping expression. She has a tiny seedling sprout on her head. Simple translucent round fairy wings drooping. A simple purple dress with soft edges. She cradles a small tumbled amethyst stone. Curled up floating pose, tiny zzz particles, dim glow."
amethyst_3_idle,amethyst,3-bloom,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A chibi fairy girl with flowing lavender-purple hair past her shoulders, large expressive eyes with sparkle highlights, rosy cheeks, gentle smile. She wears a flower crown of tiny pink and white blossoms. Translucent petal-shaped fairy wings with soft purple shimmer. A flowing crystal-purple dress with petal-like edges. She holds a polished faceted amethyst crystal gem against her chest. Floating pose, soft sparkles around her."
amethyst_3_happy,amethyst,3-bloom,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A chibi fairy girl with flowing lavender-purple hair past her shoulders, eyes closed happily (^^), big blush, wide joyful smile. She wears a flower crown of tiny pink and white blossoms. Translucent petal-shaped fairy wings with soft purple shimmer. A flowing crystal-purple dress with petal-like edges. She holds a polished faceted amethyst crystal gem. Bouncy floating pose, extra sparkles and soft light."
amethyst_3_excited,amethyst,3-bloom,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A chibi fairy girl with flowing lavender-purple hair past her shoulders, starry eyes wide open, open mouth smile, arms raised joyfully. She wears a flower crown of tiny pink and white blossoms. Translucent petal-shaped fairy wings spread wide with soft purple shimmer. A flowing crystal-purple dress with petal-like edges. She holds a polished faceted amethyst crystal gem up high. Lots of sparkles bursting around her."
amethyst_3_thinking,amethyst,3-bloom,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A chibi fairy girl with flowing lavender-purple hair past her shoulders, curious expression, head tilted to one side, one finger on chin. She wears a flower crown of tiny pink and white blossoms. Translucent petal-shaped fairy wings with soft purple shimmer. A flowing crystal-purple dress with petal-like edges. She holds a polished faceted amethyst crystal gem. Thoughtful floating pose, soft sparkles."
amethyst_3_sleeping,amethyst,3-bloom,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A chibi fairy girl with flowing lavender-purple hair past her shoulders, eyes closed peacefully (curved lines), serene sleeping expression. She wears a flower crown of tiny pink and white blossoms. Translucent petal-shaped fairy wings folded softly. A flowing crystal-purple dress with petal-like edges. She cradles a polished faceted amethyst crystal gem. Curled up floating pose, tiny zzz particles, dim gentle glow."
amethyst_4_idle,amethyst,4-crystal,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. An ornate chibi fairy girl with long flowing lavender-purple hair, large expressive eyes with sparkle highlights, rosy cheeks, elegant gentle smile. She wears a crystal tiara with faceted amethyst gems. Large faceted crystal fairy wings that catch and refract light with purple sparkle. A detailed crystal-purple dress with crystal accents and faceted gem details. She holds a brilliant faceted amethyst gem against her chest. Floating pose, many sparkles and soft light rays around her."
amethyst_4_happy,amethyst,4-crystal,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. An ornate chibi fairy girl with long flowing lavender-purple hair, eyes closed happily (^^), big blush, radiant joyful smile. She wears a crystal tiara with faceted amethyst gems. Large faceted crystal fairy wings that catch light with purple sparkle. A detailed crystal-purple dress with crystal accents. She holds a brilliant faceted amethyst gem. Bouncy floating pose, many sparkles and soft light bursts."
amethyst_4_excited,amethyst,4-crystal,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. An ornate chibi fairy girl with long flowing lavender-purple hair, starry eyes wide open, open mouth smile, arms raised triumphantly. She wears a crystal tiara with faceted amethyst gems. Large faceted crystal fairy wings spread wide, catching light with purple sparkle. A detailed crystal-purple dress with crystal accents. She holds a brilliant faceted amethyst gem up high. Lots of sparkles and light rays bursting around her."
amethyst_4_thinking,amethyst,4-crystal,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. An ornate chibi fairy girl with long flowing lavender-purple hair, curious expression, head tilted to one side, one finger on chin. She wears a crystal tiara with faceted amethyst gems. Large faceted crystal fairy wings with purple sparkle. A detailed crystal-purple dress with crystal accents. She holds a brilliant faceted amethyst gem. Thoughtful floating pose, gentle sparkles."
amethyst_4_sleeping,amethyst,4-crystal,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. An ornate chibi fairy girl with long flowing lavender-purple hair, eyes closed peacefully (curved lines), serene sleeping expression. She wears a crystal tiara with faceted amethyst gems. Large faceted crystal fairy wings folded gently. A detailed crystal-purple dress with crystal accents. She cradles a brilliant faceted amethyst gem. Curled up floating pose, tiny zzz particles, soft crystal glow."
amethyst_5_idle,amethyst,5-guardian,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A majestic chibi fairy girl with very long flowing lavender-purple hair reaching down, large expressive eyes with sparkle highlights, rosy cheeks, serene wise smile. She wears a golden crown with a glowing amethyst gem centerpiece. Large majestic feathered-crystal wings with purple and gold shimmer, ethereal and translucent. An ethereal glowing purple gown with golden sparkle accents. She holds a radiant glowing amethyst crystal that emits soft light. Floating pose, golden sparkle aura all around, light rays, magical atmosphere."
amethyst_5_happy,amethyst,5-guardian,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A majestic chibi fairy girl with very long flowing lavender-purple hair, eyes closed happily (^^), radiant joyful smile, rosy cheeks. She wears a golden crown with a glowing amethyst gem centerpiece. Large majestic feathered-crystal wings with purple and gold shimmer. An ethereal glowing purple gown with golden sparkle accents. She holds a radiant glowing amethyst crystal. Joyful floating pose, golden sparkle aura, light bursts, magical atmosphere."
amethyst_5_excited,amethyst,5-guardian,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A majestic chibi fairy girl with very long flowing lavender-purple hair, starry eyes, open mouth smile, arms raised in celebration. She wears a golden crown with a glowing amethyst gem centerpiece. Large majestic feathered-crystal wings spread wide with purple and gold shimmer. An ethereal glowing purple gown with golden sparkle accents. She holds a radiant glowing amethyst crystal up high. Golden sparkle aura bursting, many light rays, very magical atmosphere."
amethyst_5_thinking,amethyst,5-guardian,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A majestic chibi fairy girl with very long flowing lavender-purple hair, wise curious expression, head tilted, one finger on chin. She wears a golden crown with a glowing amethyst gem centerpiece. Large majestic feathered-crystal wings with purple and gold shimmer. An ethereal glowing purple gown with golden sparkle accents. She holds a radiant glowing amethyst crystal. Thoughtful floating pose, soft golden sparkle aura."
amethyst_5_sleeping,amethyst,5-guardian,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A majestic chibi fairy girl with very long flowing lavender-purple hair, eyes closed peacefully (curved lines), serene sleeping expression. She wears a golden crown with a glowing amethyst gem centerpiece. Large majestic feathered-crystal wings folded like a cocoon around her. An ethereal glowing purple gown with golden sparkle accents. She cradles a radiant glowing amethyst crystal. Curled up floating pose, tiny zzz particles, dim golden aura, peaceful magical atmosphere."
rose_quartz_1_idle,rose_quartz,1-seed,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing soft pink orb of light with a cute chibi face — big sparkly eyes, rosy cheeks, gentle smile. No body, just a round magical ball of warm pink light. Tiny translucent wing buds on either side. A small rough rose quartz crystal chip floats below. Minimal detail, very simple and cute, soft pink glow aura."
rose_quartz_1_happy,rose_quartz,1-seed,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing soft pink orb of light with a cute chibi face — eyes closed happily (^^), big blush, joyful smile. No body, round magical ball of warm pink light. Tiny translucent wing buds. A small rough rose quartz crystal chip floats below. Extra sparkles, soft pink glow aura."
rose_quartz_1_excited,rose_quartz,1-seed,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing soft pink orb of light with a cute chibi face — starry eyes, open mouth smile, sparkles bursting around. No body, round magical ball of warm pink light. Tiny translucent wing buds. A small rough rose quartz crystal chip floats below. Bright pink glow aura."
rose_quartz_1_thinking,rose_quartz,1-seed,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing soft pink orb of light with a cute chibi face — curious expression, slightly tilted. No body, round magical ball of warm pink light. Tiny translucent wing buds. A small rough rose quartz crystal chip floats below. Soft pink glow aura."
rose_quartz_1_sleeping,rose_quartz,1-seed,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A tiny glowing soft pink orb of light with a cute chibi face — eyes closed peacefully, serene sleeping expression. No body, round magical ball of warm pink light. Tiny translucent wing buds drooping. A small rough rose quartz crystal chip floats below. Dim gentle pink glow, tiny zzz particles."
rose_quartz_2_idle,rose_quartz,2-bud,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short pink-rose hair, big expressive eyes, rosy cheeks, gentle smile. Tiny seedling sprout on her head. Simple translucent round fairy wings with pink tint. A simple pink dress with soft edges. She holds a small tumbled rose quartz stone. Floating pose, soft sparkles."
rose_quartz_2_happy,rose_quartz,2-bud,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short pink-rose hair, eyes closed happily (^^), big blush, joyful smile. Tiny seedling sprout on head. Simple translucent round fairy wings with pink tint. Simple pink dress. She holds a small tumbled rose quartz stone. Bouncy pose, extra sparkles."
rose_quartz_2_excited,rose_quartz,2-bud,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short pink-rose hair, starry eyes, open mouth smile, arms raised. Tiny seedling sprout on head. Simple translucent round fairy wings with pink tint. Simple pink dress. She holds a small tumbled rose quartz stone up high. Lots of sparkles."
rose_quartz_2_thinking,rose_quartz,2-bud,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short pink-rose hair, curious expression, head tilted, finger on chin. Tiny seedling sprout on head. Simple translucent round fairy wings with pink tint. Simple pink dress. She holds a small tumbled rose quartz stone. Thoughtful pose."
rose_quartz_2_sleeping,rose_quartz,2-bud,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A small chibi fairy girl with short pink-rose hair, eyes closed peacefully, sleeping. Tiny seedling sprout on head. Simple translucent round fairy wings drooping. Simple pink dress. She cradles a small tumbled rose quartz stone. Curled up pose, zzz particles."
rose_quartz_3_idle,rose_quartz,3-bloom,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A chibi fairy girl with flowing pink-rose hair past her shoulders, large expressive eyes with sparkle highlights, rosy cheeks, gentle smile. Flower crown of tiny pink and white cherry blossoms. Translucent petal-shaped fairy wings with soft pink shimmer. A flowing rose-pink dress with petal-like edges. She holds a polished rose quartz sphere against her chest. Floating pose, soft sparkles."
rose_quartz_3_happy,rose_quartz,3-bloom,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A chibi fairy girl with flowing pink-rose hair, eyes closed happily (^^), big blush, wide joyful smile. Flower crown of cherry blossoms. Translucent petal-shaped wings with pink shimmer. Flowing rose-pink dress with petal edges. She holds a polished rose quartz sphere. Bouncy pose, extra sparkles."
rose_quartz_3_excited,rose_quartz,3-bloom,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A chibi fairy girl with flowing pink-rose hair, starry eyes, open mouth smile, arms raised. Flower crown of cherry blossoms. Translucent petal-shaped wings spread wide with pink shimmer. Flowing rose-pink dress. She holds a polished rose quartz sphere up high. Lots of sparkles bursting."
rose_quartz_3_thinking,rose_quartz,3-bloom,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A chibi fairy girl with flowing pink-rose hair, curious expression, head tilted, finger on chin. Flower crown of cherry blossoms. Translucent petal-shaped wings with pink shimmer. Flowing rose-pink dress. She holds a polished rose quartz sphere. Thoughtful pose."
rose_quartz_3_sleeping,rose_quartz,3-bloom,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A chibi fairy girl with flowing pink-rose hair, eyes closed peacefully, serene. Flower crown of cherry blossoms. Translucent petal wings folded. Flowing rose-pink dress. She cradles a polished rose quartz sphere. Curled up pose, zzz particles, dim glow."
rose_quartz_4_idle,rose_quartz,4-crystal,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. An ornate chibi fairy girl with long flowing pink-rose hair, large expressive eyes, rosy cheeks, elegant smile. Crystal tiara with faceted rose quartz gems. Large faceted crystal fairy wings that catch light with pink sparkle. Detailed rose-pink dress with crystal accents. She holds a brilliant faceted rose quartz gem. Floating pose, many sparkles and light rays."
rose_quartz_4_happy,rose_quartz,4-crystal,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. An ornate chibi fairy girl with long flowing pink-rose hair, eyes closed happily (^^), big blush, radiant smile. Crystal tiara with rose quartz gems. Large faceted crystal wings with pink sparkle. Detailed rose-pink dress with crystal accents. She holds a brilliant faceted rose quartz gem. Bouncy pose, sparkles and light bursts."
rose_quartz_4_excited,rose_quartz,4-crystal,excited,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. An ornate chibi fairy girl with long flowing pink-rose hair, starry eyes, open mouth smile, arms raised. Crystal tiara with rose quartz gems. Large faceted crystal wings spread wide with pink sparkle. Detailed rose-pink dress. She holds a brilliant faceted rose quartz gem up high. Sparkles and light rays bursting."
rose_quartz_4_thinking,rose_quartz,4-crystal,thinking,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. An ornate chibi fairy girl with long flowing pink-rose hair, curious expression, head tilted, finger on chin. Crystal tiara with rose quartz gems. Large faceted crystal wings with pink sparkle. Detailed rose-pink dress. She holds a brilliant faceted rose quartz gem. Thoughtful pose, gentle sparkles."
rose_quartz_4_sleeping,rose_quartz,4-crystal,sleeping,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. An ornate chibi fairy girl with long flowing pink-rose hair, eyes closed peacefully, serene. Crystal tiara with rose quartz gems. Large faceted crystal wings folded. Detailed rose-pink dress. She cradles a brilliant faceted rose quartz gem. Curled up pose, zzz particles, soft crystal glow."
rose_quartz_5_idle,rose_quartz,5-guardian,idle,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A majestic chibi fairy girl with very long flowing pink-rose hair, large expressive eyes, rosy cheeks, serene wise smile. Golden crown with glowing rose quartz gem centerpiece. Large majestic feathered-crystal wings with pink and gold shimmer. Ethereal glowing pink gown with golden sparkle accents. She holds a radiant glowing rose quartz crystal emitting soft light. Golden sparkle aura, light rays, magical."
rose_quartz_5_happy,rose_quartz,5-guardian,happy,512x512,transparent,"Kawaii chibi fairy character, soft watercolor pastel anime art style, transparent background, no hard outlines, watercolor wash textures, full body, front-facing, centered composition, sparkle particles floating around her, 512x512. A majestic chibi fairy girl with very long flowing pink-rose hair, eyes closed happily (^^), radiant smile. Golden crown with rose quartz gem. Large majestic feathered-crystal wings with pink and gold shimmer. Ethereal glowing pink gown with golden accents. She holds a radiant glowing rose quartz crystal. Joyful pose, golden sparkle aura, light bursts."
